id_film	titolo_film	genere	durata	descizione	link_trailer
0	Super Man – Returns	Azione	120	bla bla bla bla	https://www.youtube.com/watch?v=bRqAUqAFhNw
1	Iron man – 2	Azione/Fantascentifico	130	bla bla bla	https://www.youtube.com/watch?v=oOzuBOefL8I
2	Cicciolina - Il ritorno del trivellatore	Thriller	230	blòa bla bla	https://www.youtube.com/watch?v=2Z4m4lnjxkY
3	Fight Club	Action	120	once upon a time...	www.fight
4	Fight Club	Action	120	once upon a time...	www.fight
6	Fight Club	Action	120	once upon a time...	www.fight
8	Fight Club	Action	120	once upon a time...	www.fight
9	Fight Club	Action	120	once upon a time...	www.fight
10	Fight Club	Action	120	once upon a time...	www.fight
11	Fight Club	Action	120	once upon a time...	www.fight
12	Fight Club	Action	120	once upon a time...	www.fight
13	Fight Club	Action	120	once upon a time...	www.fight
14	Fight Club	Action	120	once upon a time...	www.fight
15	Fight Club	Action	120	once upon a time...	www.fight
16	Fight Club	Action	120	once upon a time...	www.fight
17	Fight Club	Action	120	once upon a time...	www.fight
18	Fight Club	Action	120	once upon a time...	www.fight
19	Fight Club	Action	120	once upon a time...	www.fight
20	Fight Club	Action	120	once upon a time...	www.fight
21	Fight Club	Action	120	once upon a time...	www.fight
22	Fight Club	Action	120	once upon a time...	www.fight
23	Fight Club	Action	120	once upon a time...	www.fight
24	Fight Club	Action	120	once upon a time...	www.fight
25	Fight Club	Action	120	once upon a time...	www.fight
26	Fight Club	Action	120	once upon a time...	www.fight
27	Fight Club	Action	120	once upon a time...	www.fight
28	Fight Club	Action	120	once upon a time...	www.fight
29	Fight Club	Action	120	once upon a time...	www.fight
30	Fight Club	Action	120	once upon a time...	www.fight
31	Fight Club	Action	120	once upon a time...	www.fight
32	Fight Club	Action	120	once upon a time...	www.fight
33	Fight Club	Action	120	once upon a time...	www.fight
34	Fight Club	Action	120	once upon a time...	www.fight
